Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Annotation
1,Spectrogram 1,1,1.498321365,2.762862091,1046.309,3061.424,1.2645,2015.114,-28.2,RWBL
2,Spectrogram 1,1,2.837246839,3.676731859,1123.814,3255.185,0.8395,2131.371,-41.54,RWBL
3,Spectrogram 1,1,5.738252035,6.535231484,1240.07,2945.167,0.797,1705.097,-48.88,RWBL
4,Spectrogram 1,1,8.457676507,9.35029349,1046.309,2790.158,0.8926,1743.849,-37.45,RWBL
5,Spectrogram 1,1,10.338548007,11.220538598,1123.814,3022.671,0.882,1898.858,-38.33,RWBL
6,Spectrogram 1,1,13.441454663,14.344698039,1395.079,3022.671,0.9032,1627.592,-35.8,RWBL
7,Spectrogram 1,1,18.362406957,20.434553525,1201.318,3603.954,2.0721,2402.636,-43.87,MAWR
8,Spectrogram 1,1,20.848982839,21.97538046,1201.318,3255.185,1.1264,2053.866,-31.63,RWBL
9,Spectrogram 1,1,23.951144031,24.737497088,1201.318,2906.415,0.7864,1705.097,-35.92,RWBL
10,Spectrogram 1,1,24.684365125,25.364454255,1550.088,2790.158,0.6801,1240.07,-32.53,RWBL
11,Spectrogram 1,1,25.792678629,28.024221087,1627.592,3875.22,2.2315,2247.627,-43.95,MAWR
1,Spectrogram 1,1,1.113352269,4.692909273,1240.07,3681.459,3.5796,2441.388,-46.03,NOCA
4,Spectrogram 1,1,8.405005419,9.058776228,1743.849,3758.963,0.6538,2015.114,-53.27,RWBL
5,Spectrogram 1,1,9.149397925,9.945574256,1976.362,3603.954,0.7962,1627.592,-55.42,RWBL
6,Spectrogram 1,1,10.689966762,11.563818833,1821.353,4107.733,0.8739,2286.38,-57.68,RWBL
7,Spectrogram 1,1,11.893940727,12.657752167,1550.088,3681.459,0.7638,2131.371,-56.44,RWBL
8,Spectrogram 1,1,21.0331162,24.839227445,1705.097,3681.459,3.8061,1976.362,-48.23,NOCA
1,Spectrogram 1,1,1.48233272,2.562245217,1223.199,4217.926,1.0799,2994.728,-42.27,RWBL
2,Spectrogram 1,1,3.192543154,4.491494506,1982.425,4428.822,1.299,2446.397,-68.27,MAWR
4,Spectrogram 1,1,8.988464145,9.844243859,2615.114,5736.38,0.8558,3121.265,-68.31,MAWR
5,Spectrogram 1,1,13.346167294,14.054223129,1940.246,4892.794,0.7081,2952.548,-70.5,MAWR
6,Spectrogram 1,1,16.618552525,17.774873925,2108.963,4260.105,1.1563,2151.142,-64.24,MAWR
7,Spectrogram 1,1,20.302736041,21.036261511,2446.397,5061.511,0.7335,2615.114,-68.92,RWBL
8,Spectrogram 1,1,23.017799064,23.863390925,3374.341,5989.455,0.8456,2615.114,-66.97,MAWR
9,Spectrogram 1,1,26.333177231,26.995387725,2277.68,4513.181,0.6622,2235.501,-70.63,MAWR
1,Spectrogram 1,1,3.145385123,4.044066587,1434.095,4597.54,0.8987,3163.445,-50.48,MAWR
2,Spectrogram 1,1,6.652434738,7.682630562,1771.529,4766.257,1.0302,2994.728,-48.23,MAWR
3,Spectrogram 1,1,13.075873055,14.029352169,1391.916,4260.105,0.9535,2868.19,-43.01,RWBL
4,Spectrogram 1,1,16.459099836,17.45641707,1138.84,4302.285,0.9973,3163.445,-54.55,RWBL
5,Spectrogram 1,1,21.270333526,22.25669123,1434.095,4471.002,0.9864,3036.907,-51.15,MAWR
6,Spectrogram 1,1,23.495502546,24.38322448,1560.633,4133.568,0.8877,2572.935,-59.54,RWBL
7,Spectrogram 1,1,27.013511691,28.142343286,1307.557,4175.747,1.1288,2868.19,-53.22,MAWR
8,Spectrogram 1,1,28.504007777,29.29309394,1644.991,3711.775,0.7891,2066.784,-55.12,RWBL
1,Spectrogram 1,1,0.034075989,1.436059516,2235.501,4133.568,1.402,1898.067,-63.01,MAWR
3,Spectrogram 1,1,1.465267506,2.156523273,1349.736,4302.285,0.6913,2952.548,-50.11,RWBL
4,Spectrogram 1,1,2.376553488,4.513604768,927.944,6200.351,2.1371,5272.408,-46.56,NOCA
5,Spectrogram 1,1,6.04683873,6.864662455,1054.482,4471.002,0.8178,3416.52,-48.33,RWBL
6,Spectrogram 1,1,7.174908435,8.075488132,970.123,4007.03,0.9006,3036.907,-59.17,RWBL
7,Spectrogram 1,1,8.792073211,9.519307482,1391.916,4808.436,0.7272,3416.52,-46.27,RWBL
8,Spectrogram 1,1,9.574757981,11.074101475,2230.303,4363.636,1.4993,2133.333,-53.1,MAWR
9,Spectrogram 1,1,11.351577382,11.755621245,1600.0,4412.121,0.404,2812.121,-44.26,RWBL
10,Spectrogram 1,1,11.803742021,13.458861463,2521.212,4218.182,1.6551,1696.97,-56.34,MAWR
11,Spectrogram 1,1,13.663579206,16.97381809,339.394,7418.182,3.3102,7078.788,-39.38,NOCA
12,Spectrogram 1,1,17.206699388,17.820067181,678.788,4896.97,0.6134,4218.182,-46.69,RWBL
13,Spectrogram 1,1,21.991177681,22.633753464,727.273,4896.97,0.6426,4169.697,-46.69,RWBL
14,Spectrogram 1,1,22.70677344,23.865357049,1987.879,4266.667,1.1586,2278.788,-55.16,MAWR
15,Spectrogram 1,1,24.418446079,25.265477793,1163.636,4800.0,0.847,3636.364,-46.61,RWBL
16,Spectrogram 1,1,26.744435765,29.489986839,872.727,4072.727,2.7456,3200.0,-56.11,MAWR
17,Spectrogram 1,1,29.685452477,30.357236251,1260.606,4169.697,0.6718,2909.091,-44.29,RWBL
18,Spectrogram 1,1,30.415652231,33.039503346,2424.242,4606.061,2.6239,2181.818,-57.44,MAWR
19,Spectrogram 1,1,32.71588731,34.726370632,436.364,7175.758,2.0105,6739.394,-42.93,NOCA
20,Spectrogram 1,1,34.824698382,35.423462181,678.788,4315.152,0.5988,3636.364,-44.27,RWBL
1,Spectrogram 1,1,1.156473537,3.083929432,2235.501,4217.926,1.9275,1982.425,-44.69,MAWR
2,Spectrogram 1,1,7.555627107,9.136140941,2193.322,3880.492,1.5805,1687.17,-44.98,MAWR
3,Spectrogram 1,1,12.528463316,14.186075385,1940.246,3543.058,1.6576,1602.812,-46.47,MAWR
4,Spectrogram 1,1,17.501299524,18.966166004,2319.859,4049.209,1.4649,1729.35,-39.92,MAWR
5,Spectrogram 1,1,21.780251611,23.360765444,2362.039,3711.775,1.5805,1349.736,-44.79,MAWR
6,Spectrogram 1,1,25.905007225,27.562619295,2151.142,4344.464,1.6576,2193.322,-44.61,MAWR
7,Spectrogram 1,1,29.309954484,30.504977139,2488.576,4344.464,1.195,1855.888,-56.43,MAWR
8,Spectrogram 1,1,32.663727741,33.974397749,1687.17,4344.464,1.3107,2657.293,-46.25,MAWR
9,Spectrogram 1,1,34.745380107,36.056050115,1813.708,3964.851,1.3107,2151.142,-48.78,MAWR
10,Spectrogram 1,1,35.990223016,37.455089496,1687.17,3332.162,1.4649,1644.991,-51.64,RWBL
11,Spectrogram 1,1,39.343996273,41.155804814,2066.784,3753.954,1.8118,1687.17,-48.42,MAWR
12,Spectrogram 1,1,44.817971014,46.475583083,1771.529,3796.134,1.6576,2024.605,-49.55,MAWR
13,Spectrogram 1,1,48.981275746,50.253396637,1476.274,3416.52,1.2721,1940.246,-47.79,RWBL
14,Spectrogram 1,1,50.253396637,51.756812235,1729.35,3585.237,1.5034,1855.888,-49.42,MAWR
1,Spectrogram 1,1,1.128369973,2.878494829,1799.649,4049.209,1.7501,2249.561,-57.63,NOCA
2,Spectrogram 1,1,2.832438912,4.122004595,1996.485,3261.863,1.2896,1265.378,-39.66,RWBL
3,Spectrogram 1,1,6.678108003,8.151897355,2108.963,3768.014,1.4738,1659.051,-43.29,RWBL
4,Spectrogram 1,1,11.214615853,12.803544999,1996.485,3177.504,1.5889,1181.019,-40.69,RWBL
7,Spectrogram 1,1,13.931914971,15.497816158,1947.262,2985.801,1.5659,1038.54,-41.19,RWBL
8,Spectrogram 1,1,16.081785124,18.430636904,1784.99,4089.249,2.3489,2304.26,-55.62,NOCA
9,Spectrogram 1,1,22.594058815,24.52840734,1720.081,3829.615,1.9343,2109.533,-53.23,NOCA
10,Spectrogram 1,1,24.413267547,25.54163752,2239.351,3602.434,1.1284,1363.083,-48.08,RWBL
11,Spectrogram 1,1,28.208805084,29.682594436,2044.625,3277.89,1.4738,1233.266,-42.49,RWBL
12,Spectrogram 1,1,30.166181567,31.616942961,2044.625,3342.799,1.4508,1298.174,-41.48,RWBL
13,Spectrogram 1,1,36.581963018,39.368346012,1687.627,3959.432,2.7864,2271.805,-53.37,NOCA
14,Spectrogram 1,1,41.41783433,42.983735517,2109.533,3310.345,1.5659,1200.811,-41.6,RWBL
15,Spectrogram 1,1,43.467322649,45.07196875,1622.718,3732.252,1.6046,2109.533,-53.94,NOCA
1,Spectrogram 1,1,2.104158417,3.172299904,1588.84,4456.503,1.0681,2867.663,-37.76,RWBL
2,Spectrogram 1,1,5.894856024,7.091495734,1007.557,4495.255,1.1966,3487.698,-37.31,RWBL
3,Spectrogram 1,1,10.426450026,11.486560374,1278.822,4185.237,1.0601,2906.415,-38.07,RWBL
4,Spectrogram 1,1,13.007665224,14.32477202,1317.575,4185.237,1.3171,2867.663,-47.41,NOCA
5,Spectrogram 1,1,14.429176827,15.232290727,1317.575,4068.981,0.8031,2751.406,-39.62,RWBL
6,Spectrogram 1,1,17.357543624,18.602370168,1472.583,3836.467,1.2448,2363.884,-53.18,NOCA
7,Spectrogram 1,1,18.779055226,19.726729628,1898.858,3991.476,0.9477,2092.619,-36.19,RWBL
8,Spectrogram 1,1,19.766885323,20.513781249,1743.849,4456.503,0.7469,2712.654,-37.45,RWBL
9,Spectrogram 1,1,20.648675498,21.773034958,1317.575,4185.237,1.1244,2867.663,-53.24,MAWR
10,Spectrogram 1,1,22.608273414,23.901286792,1705.097,4727.768,1.293,3022.671,-54.69,NOCA
