Song_ID,Annotation,Begin Time (s),End Time (s),Low Freq (kHz),High Freq (kHz),Delta Time (s),Delta Freq (kHz)
1,RWBL,1.498321365,2.762862091,1.046309,3.061424,1.2645,2.015114
2,RWBL,2.837246839,3.676731859,1.123814,3.255185,0.8395,2.131371
3,RWBL,5.738252035,6.535231484,1.24007,2.945167,0.797,1.705097
4,RWBL,8.457676507,9.35029349,1.046309,2.790158,0.8926,1.743849
5,RWBL,10.338548007,11.220538598,1.123814,3.022671,0.882,1.898858
6,RWBL,13.441454663,14.344698039,1.395079,3.022671,0.9032,1.6275920000000001
7,MAWR,18.362406957,20.434553525,1.201318,3.6039540000000003,2.0721,2.402636
8,RWBL,20.848982839,21.97538046,1.201318,3.255185,1.1264,2.053866
9,RWBL,23.951144031,24.737497088,1.201318,2.906415,0.7864,1.705097
10,RWBL,24.684365125,25.364454255,1.550088,2.790158,0.6801,1.24007
11,MAWR,25.792678629,28.024221087,1.6275920000000001,3.8752199999999997,2.2315,2.247627
12,NOCA,1.113352269,4.692909273,1.24007,3.681459,3.5796,2.441388
13,RWBL,8.405005419,9.058776228,1.743849,3.758963,0.6538,2.015114
14,RWBL,9.149397925,9.945574256,1.9763620000000002,3.6039540000000003,0.7962,1.6275920000000001
15,RWBL,10.689966762,11.563818833,1.821353,4.1077330000000005,0.8739,2.2863800000000003
16,RWBL,11.893940727,12.657752167,1.550088,3.681459,0.7638,2.131371
17,NOCA,21.0331162,24.839227445,1.705097,3.681459,3.8061,1.9763620000000002
18,RWBL,1.48233272,2.562245217,1.2231990000000001,4.217926,1.0799,2.9947280000000003
19,MAWR,3.192543154,4.491494506,1.982425,4.428822,1.299,2.446397
20,MAWR,8.988464145,9.844243859,2.615114,5.7363800000000005,0.8558,3.1212649999999997
21,MAWR,13.346167294,14.054223129,1.9402460000000001,4.892794,0.7081,2.9525479999999997
22,MAWR,16.618552525,17.774873925,2.108963,4.260104999999999,1.1563,2.1511419999999997
23,RWBL,20.302736041,21.036261511,2.446397,5.061511,0.7335,2.615114
24,MAWR,23.017799064,23.863390925,3.374341,5.989455,0.8456,2.615114
25,MAWR,26.333177231,26.995387725,2.2776799999999997,4.513180999999999,0.6622,2.235501
26,MAWR,3.145385123,4.044066587,1.4340950000000001,4.59754,0.8987,3.1634450000000003
27,MAWR,6.652434738,7.682630562,1.7715290000000001,4.7662569999999995,1.0302,2.9947280000000003
28,RWBL,13.075873055,14.029352169,1.391916,4.260104999999999,0.9535,2.8681900000000002
29,RWBL,16.459099836,17.45641707,1.1388399999999999,4.302285,0.9973,3.1634450000000003
30,MAWR,21.270333526,22.25669123,1.4340950000000001,4.471002,0.9864,3.0369070000000002
31,RWBL,23.495502546,24.38322448,1.5606330000000002,4.133568,0.8877,2.572935
32,MAWR,27.013511691,28.142343286,1.307557,4.175747,1.1288,2.8681900000000002
33,RWBL,28.504007777,29.29309394,1.644991,3.7117750000000003,0.7891,2.066784
34,MAWR,0.034075989,1.436059516,2.235501,4.133568,1.402,1.898067
35,RWBL,1.465267506,2.156523273,1.349736,4.302285,0.6913,2.9525479999999997
36,NOCA,2.376553488,4.513604768,0.927944,6.2003509999999995,2.1371,5.272408
37,RWBL,6.04683873,6.864662455,1.054482,4.471002,0.8178,3.4165200000000002
38,RWBL,7.174908435,8.075488132,0.9701230000000001,4.00703,0.9006,3.0369070000000002
39,RWBL,8.792073211,9.519307482,1.391916,4.8084359999999995,0.7272,3.4165200000000002
40,MAWR,9.574757981,11.074101475,2.230303,4.3636360000000005,1.4993,2.133333
41,RWBL,11.351577382,11.755621245,1.6,4.412121,0.404,2.8121210000000003
42,MAWR,11.803742021,13.458861463,2.5212120000000002,4.218182,1.6551,1.69697
43,NOCA,13.663579206,16.97381809,0.33939400000000003,7.418182,3.3102,7.078787999999999
44,RWBL,17.206699388,17.820067181,0.6787880000000001,4.8969700000000005,0.6134,4.218182
45,RWBL,21.991177681,22.633753464,0.7272730000000001,4.8969700000000005,0.6426,4.169697
46,MAWR,22.70677344,23.865357049,1.987879,4.266667000000001,1.1586,2.278788
47,RWBL,24.418446079,25.265477793,1.163636,4.8,0.847,3.636364
48,MAWR,26.744435765,29.489986839,0.872727,4.0727269999999995,2.7456,3.2
49,RWBL,29.685452477,30.357236251,1.2606060000000001,4.169697,0.6718,2.909091
50,MAWR,30.415652231,33.039503346,2.4242420000000005,4.6060609999999995,2.6239,2.1818180000000003
51,NOCA,32.71588731,34.726370632,0.436364,7.175758,2.0105,6.739394000000001
52,RWBL,34.824698382,35.423462181,0.6787880000000001,4.315152,0.5988,3.636364
53,MAWR,1.156473537,3.083929432,2.235501,4.217926,1.9275,1.982425
54,MAWR,7.555627107,9.136140941,2.193322,3.8804920000000003,1.5805,1.68717
55,MAWR,12.528463316,14.186075385,1.9402460000000001,3.5430580000000003,1.6576,1.602812
56,MAWR,17.501299524,18.966166004,2.319859,4.049209,1.4649,1.72935
57,MAWR,21.780251611,23.360765444,2.362039,3.7117750000000003,1.5805,1.349736
58,MAWR,25.905007225,27.562619295,2.1511419999999997,4.344464,1.6576,2.193322
59,MAWR,29.309954484,30.504977139,2.488576,4.344464,1.195,1.855888
60,MAWR,32.663727741,33.974397749,1.68717,4.344464,1.3107,2.657293
61,MAWR,34.745380107,36.056050115,1.813708,3.9648510000000003,1.3107,2.1511419999999997
62,RWBL,35.990223016,37.455089496,1.68717,3.332162,1.4649,1.644991
63,MAWR,39.343996273,41.155804814,2.066784,3.7539540000000002,1.8118,1.68717
64,MAWR,44.817971014,46.475583083,1.7715290000000001,3.796134,1.6576,2.024605
65,RWBL,48.981275746,50.253396637,1.4762739999999999,3.4165200000000002,1.2721,1.9402460000000001
66,MAWR,50.253396637,51.756812235,1.72935,3.5852370000000002,1.5034,1.855888
67,NOCA,1.128369973,2.878494829,1.7996489999999998,4.049209,1.7501,2.2495610000000004
68,RWBL,2.832438912,4.122004595,1.9964849999999998,3.261863,1.2896,1.265378
69,RWBL,6.678108003,8.151897355,2.108963,3.7680140000000004,1.4738,1.659051
70,RWBL,11.214615853,12.803544999,1.9964849999999998,3.177504,1.5889,1.181019
71,RWBL,13.931914971,15.497816158,1.947262,2.985801,1.5659,1.03854
72,NOCA,16.081785124,18.430636904,1.78499,4.089249,2.3489,2.30426
73,NOCA,22.594058815,24.52840734,1.720081,3.829615,1.9343,2.109533
74,RWBL,24.413267547,25.54163752,2.239351,3.602434,1.1284,1.363083
75,RWBL,28.208805084,29.682594436,2.044625,3.2778899999999997,1.4738,1.2332660000000002
76,RWBL,30.166181567,31.616942961,2.044625,3.342799,1.4508,1.298174
77,NOCA,36.581963018,39.368346012,1.687627,3.959432,2.7864,2.271805
78,RWBL,41.41783433,42.983735517,2.109533,3.310345,1.5659,1.2008109999999999
79,NOCA,43.467322649,45.07196875,1.622718,3.732252,1.6046,2.109533
80,RWBL,2.104158417,3.172299904,1.58884,4.456503,1.0681,2.867663
81,RWBL,5.894856024,7.091495734,1.007557,4.495255,1.1966,3.487698
82,RWBL,10.426450026,11.486560374,1.278822,4.185237,1.0601,2.906415
83,NOCA,13.007665224,14.32477202,1.3175750000000002,4.185237,1.3171,2.867663
84,RWBL,14.429176827,15.232290727,1.3175750000000002,4.068981,0.8031,2.751406
85,NOCA,17.357543624,18.602370168,1.4725830000000002,3.8364670000000003,1.2448,2.363884
86,RWBL,18.779055226,19.726729628,1.898858,3.991476,0.9477,2.092619
87,RWBL,19.766885323,20.513781249,1.743849,4.456503,0.7469,2.712654
88,MAWR,20.648675498,21.773034958,1.3175750000000002,4.185237,1.1244,2.867663
89,NOCA,22.608273414,23.901286792,1.705097,4.727768,1.293,3.022671
90,RWBL,24.029785016,24.889116889,2.015114,4.3402460000000005,0.8593,2.325132
91,RWBL,24.840930055,25.563732564,2.015114,4.185237,0.7228,2.1701230000000002
92,NOCA,26.597173649,27.922311583,1.511336,3.797715,1.3251,2.2863800000000003
93,RWBL,28.171276892,29.006515348,1.743849,4.185237,0.8352,2.441388
94,MAWR,29.259597006,31.379817701,1.4338309999999999,3.8752199999999997,2.1202,2.441388
95,RWBL,31.500284786,32.279305269,1.821353,4.41775,0.779,2.596397
96,NOCA,32.795176317,34.216687919,1.24007,3.991476,1.4215,2.751406
97,RWBL,34.915397012,35.742604329,2.015114,4.3402460000000005,0.8272,2.325132
98,NOCA,36.710922755,38.011967273,0.9688049999999999,3.8752199999999997,1.301,2.906415
99,MAWR,37.995904995,38.766894338,1.4725830000000002,3.565202,0.771,2.092619
100,RWBL,38.815081172,39.762755574,1.395079,3.991476,0.9477,2.596397
101,RWBL,40.062209788,40.857292549,1.666344,4.2239889999999995,0.7951,2.557645
102,NOCA,43.521909312,44.429428019,1.666344,3.8364670000000003,0.9075,2.1701230000000002
