"Selection","View","Channel","Begin Time (s)","End Time (s)","Low Freq (Hz)","High Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","Avg Power Density (dB FS/Hz)","Annotation"
1,"Spectrogram 1",1,2.104158417,3.172299904,1588.84,4456.503,1.0681,2867.663,-37.76,"RWBL"
2,"Spectrogram 1",1,5.894856024,7.091495734,1007.557,4495.255,1.1966,3487.698,-37.31,"RWBL"
3,"Spectrogram 1",1,10.426450026,11.486560374,1278.822,4185.237,1.0601,2906.415,-38.07,"RWBL"
4,"Spectrogram 1",1,13.007665224,14.32477202,1317.575,4185.237,1.3171,2867.663,-47.41,"NOCA"
5,"Spectrogram 1",1,14.429176827,15.232290727,1317.575,4068.981,0.8031,2751.406,-39.62,"RWBL"
6,"Spectrogram 1",1,17.357543624,18.602370168,1472.583,3836.467,1.2448,2363.884,-53.18,"NOCA"
7,"Spectrogram 1",1,18.779055226,19.726729628,1898.858,3991.476,0.9477,2092.619,-36.19,"RWBL"
8,"Spectrogram 1",1,19.766885323,20.513781249,1743.849,4456.503,0.7469,2712.654,-37.45,"RWBL"
9,"Spectrogram 1",1,20.648675498,21.773034958,1317.575,4185.237,1.1244,2867.663,-53.24,"MAWR"
10,"Spectrogram 1",1,22.608273414,23.901286792,1705.097,4727.768,1.293,3022.671,-54.69,"NOCA"
11,"Spectrogram 1",1,24.029785016,24.889116889,2015.114,4340.246,0.8593,2325.132,-37.48,"RWBL"
12,"Spectrogram 1",1,24.840930055,25.563732564,2015.114,4185.237,0.7228,2170.123,-37.07,"RWBL"
13,"Spectrogram 1",1,26.597173649,27.922311583,1511.336,3797.715,1.3251,2286.38,-52.04,"NOCA"
14,"Spectrogram 1",1,28.171276892,29.006515348,1743.849,4185.237,0.8352,2441.388,-37.75,"RWBL"
15,"Spectrogram 1",1,29.259597006,31.379817701,1433.831,3875.22,2.1202,2441.388,-52.64,"MAWR"
16,"Spectrogram 1",1,31.500284786,32.279305269,1821.353,4417.75,0.779,2596.397,-38.07,"RWBL"
17,"Spectrogram 1",1,32.795176317,34.216687919,1240.07,3991.476,1.4215,2751.406,-54.08,"NOCA"
18,"Spectrogram 1",1,34.915397012,35.742604329,2015.114,4340.246,0.8272,2325.132,-39.12,"RWBL"
19,"Spectrogram 1",1,36.710922755,38.011967273,968.805,3875.22,1.301,2906.415,-51.18,"NOCA"
20,"Spectrogram 1",1,37.995904995,38.766894338,1472.583,3565.202,0.771,2092.619,-52.25,"MAWR"
21,"Spectrogram 1",1,38.815081172,39.762755574,1395.079,3991.476,0.9477,2596.397,-37.45,"RWBL"
22,"Spectrogram 1",1,40.062209788,40.857292549,1666.344,4223.989,0.7951,2557.645,-41.2,"RWBL"
23,"Spectrogram 1",1,43.521909312,44.429428019,1666.344,3836.467,0.9075,2170.123,-55.94,"NOCA"
